word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
sparverius,sparveria,sparverium,sparveriior,,,12,sparveri
quinatus,quinata,quinatum,quinatior,,,12,quinat
suratensis,suratensis,suratense,suratensior,,,3,suratens
beshanzuensis,beshanzuensis,beshanzuense,beshanzuensior,,,3,beshanzuens
eurygnathus,eurygnatha,eurygnathum,eurygnathior,,,12,eurygnath
apiformis,apiformis,apiforme,apiformior,,,3,apiform
sandvicensis,sandvicensis,sandvicense,sandvicensior,,,3,sandvicens
arctoides,arctoides,arctoides,arctoidior,,,3,arctoid
quitensis,quitensis,quitense,quitensior,,,3,quitens
nigroviridis,nigroviridis,nigroviride,nigroviridior,,,3,nigrovirid
linearifolius,linearifolia,linearifolium,linearifoliior,,,12,linearifoli
platyphyllus,platyphylla,platyphyllum,platyphyllior,,,12,platyphyll
ivorensis,ivorensis,ivorense,ivorensior,,,3,ivorens
granatensis,granatensis,granatense,granatensior,,,3,granatens
bermudensis,bermudensis,bermudense,bermudensior,,,3,bermudens
mindorensis,mindorensis,mindorense,mindorensior,,,3,mindorens
manipurensis,manipurensis,manipurense,manipurensior,,,3,manipurens
samarensis,samarensis,samarense,samarensior,,,3,samarens
uluguruensis,uluguruensis,uluguruense,uluguruensior,,,3,uluguruens
aldabrensis,aldabrensis,aldabrense,aldabrensior,,,3,aldabrens
zamorensis,zamorensis,zamorense,zamorensior,,,3,zamorens
periyarensis,periyarensis,periyarense,periyarensior,,,3,periyarens
aequatoriensis,aequatoriensis,aequatoriense,aequatoriensior,,,3,aequatoriens
pichinchensis,pichinchensis,pichinchense,pichinchensior,,,3,pichinchens
chimboracensis,chimboracensis,chimboracense,chimboracensior,,,3,chimboracens
prespensis,prespensis,prespense,prespensior,,,3,prespens
riopalenquensis,riopalenquensis,riopalenquense,riopalenquensior,,,3,riopalenquens
wynaadensis,wynaadensis,wynaadense,wynaadensior,,,3,wynaadens
tahitensis,tahitensis,tahitense,tahitensior,,,3,tahitens
lanceifolius,lanceifolia,lanceifolium,lanceifoliior,,,12,lanceifoli
parvifolius,parvifolia,parvifolium,parvifoliior,,,12,parvifoli
ovalifolius,ovalifolia,ovalifolium,ovalifoliior,,,12,ovalifoli
acutifolius,acutifolia,acutifolium,acutifoliior,,,12,acutifoli
obtusifolius,obtusifolia,obtusifolium,obtusifoliior,,,12,obtusifoli
oliganthus,oligantha,oliganthum,oliganthior,,,12,oliganth
longicaudatus,longicaudata,longicaudatum,longicaudatior,,,12,longicaudat
brevicaudatus,brevicaudata,brevicaudatum,brevicaudatior,,,12,brevicaudat
bicaudatus,bicaudata,bicaudatum,bicaudatior,,,12,bicaudat
floccosus,floccosa,floccosum,floccosior,,,12,floccos
psammophilus,psammophila,psammophilum,psammophilior,,,12,psammophil
neocaledonicus,neocaledonica,neocaledonicum,neocaledonicior,,,12,neocaledonic
nicobaricus,nicobarica,nicobaricum,nicobaricior,,,12,nicobaric
fontinalis,fontinalis,fontinale,fontinalior,,,3,fontinal
mauritianus,mauritiana,mauritianum,mauritianior,,,12,mauritian
subsessilis,subsessilis,subsessile,subsessilior,,,3,subsessil
pachyphyllus,pachyphylla,pachyphyllum,pachyphyllior,,,12,pachyphyll
longipedicellatus,longipedicellata,longipedicellatum,longipedicellatior,,,12,longipedicellat
capucinus,capucina,capucinum,capucinior,,,12,capucin
hibridus,hibrida,hibridum,hibridior,,,12,hibrid
hybridus,hybrida,hybridum,hybridior,,,12,hybrid
xanthosternus,xanthosterna,xanthosternum,xanthosternior,,,12,xanthostern
vancouverensis,vancouverensis,vancouverense,vancouverensior,,,3,vancouverens
quindiuensis,quindiuensis,quindiuense,quindiuensior,,,3,quindiuens
caspicus,caspica,caspicum,caspicior,,,12,caspic
vexillifer,vexillifera,vexilliferum,vexilliferior,,,12,vexillifer
usambaricus,usambarica,usambaricum,usambaricior,,,12,usambaric
subcordatus,subcordata,subcordatum,subcordatior,,,12,subcordat
pyralis,pyralis,pyrale,pyralior,,,3,pyral
squamulosus,squamulosa,squamulosum,squamulosior,,,12,squamulos
cracens,cracens,cracens,cracentior,,,3,cracent
stenopetalus,stenopetala,stenopetalum,stenopetalior,,,12,stenopetal
umbilicatus,umbilicata,umbilicatum,umbilicatior,,,12,umbilicat
